ip,app,device,os,channel,click_time,attributed_time,is_attributed
60725,18,1,3,121,2017-11-07 11:33:43,,0
106200,14,1,53,401,2017-11-07 11:38:21,,0
123357,15,1,19,315,2017-11-07 11:32:02,,0
43186,12,1,14,178,2017-11-07 11:45:59,,0
141171,12,1,17,259,2017-11-07 11:50:36,,0
180024,28,1,13,135,2017-11-07 11:50:23,,0
50482,3,1,47,379,2017-11-07 11:49:31,,0
201182,2,1,30,219,2017-11-07 11:46:43,,0
85056,2,1,19,122,2017-11-07 11:48:26,,0
105439,12,1,37,205,2017-11-07 11:47:04,,0
94519,9,1,16,442,2017-11-07 11:49:55,,0
120936,3,1,32,409,2017-11-07 11:45:38,,0
207718,2,1,17,236,2017-11-07 11:42:42,,0
198541,19,0,0,213,2017-11-07 11:34:15,,0
96266,18,1,13,121,2017-11-07 11:33:42,,0
16067,2,1,1,258,2017-11-07 11:39:59,,0
90655,6,1,25,459,2017-11-07 11:40:48,,0
99895,9,1,13,334,2017-11-07 11:50:53,,0
63635,14,1,53,401,2017-11-07 11:49:05,,0
78093,6,1,14,459,2017-11-07 11:44:07,,0
73232,5,1,10,377,2017-11-07 11:32:52,,0
35472,12,1,13,265,2017-11-07 11:42:31,,0
63936,9,1,13,442,2017-11-07 11:45:10,,0
91427,1,1,9,17,2017-11-07 11:46:45,,0
99694,3,1,1,480,2017-11-07 11:42:15,,0
81398,18,1,15,439,2017-11-07 11:49:17,,0
59411,15,1,17,412,2017-11-07 11:44:07,,0
44536,20,1,19,259,2017-11-07 11:38:22,,0
126852,1,1,13,150,2017-11-07 11:33:34,,0
44139,3,1,36,19,2017-11-07 11:46:59,,0
94584,18,1,13,107,2017-11-07 11:34:45,,0
36183,6,1,13,459,2017-11-07 11:50:13,,0
113573,24,1,13,105,2017-11-07 11:36:53,,0
38575,3,1,19,173,2017-11-07 11:47:17,,0
96063,12,1,26,178,2017-11-07 11:50:51,,0
101921,25,1,9,259,2017-11-07 11:37:57,,0
12450,12,1,19,265,2017-11-07 11:51:08,,0
73516,15,2,19,140,2017-11-07 11:43:37,,0
190928,12,1,19,178,2017-11-07 11:37:33,,0
45800,10,1,13,317,2017-11-07 11:47:18,,0
205526,19,0,0,213,2017-11-07 11:41:59,2017-11-07 11:42:59,1
119278,3,1,17,115,2017-11-07 11:33:14,,0
55840,2,1,18,364,2017-11-07 11:37:16,,0
169001,27,1,13,153,2017-11-07 11:48:30,,0
73487,9,1,13,445,2017-11-07 11:38:06,,0
99809,13,1,19,477,2017-11-07 11:45:45,,0
71304,2,1,18,122,2017-11-07 11:35:47,,0
44645,12,2,19,178,2017-11-07 11:33:30,,0
181473,24,1,25,105,2017-11-07 11:47:03,,0
77766,14,1,13,489,2017-11-07 11:43:06,,0
84006,1,1,19,137,2017-11-07 11:32:49,,0
15540,18,1,22,134,2017-11-07 11:32:41,,0
207942,13,1,8,477,2017-11-07 11:41:50,,0
9181,12,1,6,328,2017-11-07 11:47:38,,0
199794,1,1,13,349,2017-11-07 11:44:05,,0
58524,15,1,15,259,2017-11-07 11:39:16,,0
113508,2,1,13,377,2017-11-07 11:50:35,,0
66170,14,1,35,349,2017-11-07 11:38:45,,0
14087,18,1,13,134,2017-11-07 11:46:19,,0
119289,64,1,6,459,2017-11-07 11:42:57,,0
92735,9,1,1,234,2017-11-07 11:50:39,,0
32636,21,1,17,128,2017-11-07 11:34:00,,0
95856,3,1,17,480,2017-11-07 11:44:33,,0
127245,9,2,19,442,2017-11-07 11:44:16,,0
148235,14,1,13,463,2017-11-07 11:44:44,,0
191780,12,1,19,481,2017-11-07 11:44:44,,0
35263,12,1,9,259,2017-11-07 11:39:35,,0
8482,12,1,3,328,2017-11-07 11:36:44,,0
84085,21,1,8,128,2017-11-07 11:32:25,,0
111251,2,1,26,212,2017-11-07 11:40:15,,0
162265,12,1,9,145,2017-11-07 11:44:44,,0
2164,13,1,10,477,2017-11-07 11:45:29,,0
58696,9,1,13,489,2017-11-07 11:38:08,,0
48282,2,1,19,237,2017-11-07 11:45:48,,0
101074,3,2,13,280,2017-11-07 11:49:56,,0
36150,2,1,19,205,2017-11-07 11:31:44,,0
18314,1,1,10,150,2017-11-07 11:39:18,,0
37385,14,1,19,134,2017-11-07 11:43:56,,0
17376,12,1,16,178,2017-11-07 11:43:57,,0
197093,9,1,13,489,2017-11-07 11:34:45,,0
104502,15,1,8,245,2017-11-07 11:37:19,,0
118963,14,1,27,439,2017-11-07 11:43:48,,0
68271,12,1,25,178,2017-11-07 11:45:29,,0
145346,9,1,25,244,2017-11-07 11:38:34,,0
190196,14,1,10,463,2017-11-07 11:43:34,,0
77085,2,1,13,477,2017-11-07 11:34:01,,0
98529,15,1,13,315,2017-11-07 11:33:34,,0
63189,12,1,13,265,2017-11-07 11:40:20,,0
48240,2,1,13,377,2017-11-07 11:42:52,,0
185504,1,1,17,153,2017-11-07 11:39:26,,0
63051,13,1,13,477,2017-11-07 11:44:25,,0
212757,14,1,13,379,2017-11-07 11:44:27,,0
167401,3,1,20,280,2017-11-07 11:41:02,,0
193518,11,1,19,122,2017-11-07 11:39:12,,0
36183,2,1,13,205,2017-11-07 11:36:50,,0
70683,2,1,6,477,2017-11-07 11:49:26,,0
96275,62,1,13,21,2017-11-07 11:49:27,,0
67440,9,1,1,134,2017-11-07 11:50:36,,0
43827,15,1,10,245,2017-11-07 11:41:57,,0
154431,18,1,18,107,2017-11-07 11:42:19,,0
91694,23,1,13,153,2017-11-07 11:50:18,,0
41030,18,1,20,121,2017-11-07 11:43:58,,0
44489,15,1,17,245,2017-11-07 11:48:12,,0
102187,18,1,13,107,2017-11-07 11:50:00,,0
36046,2,1,198,469,2017-11-07 11:34:09,,0
106200,1,1,18,153,2017-11-07 11:48:08,,0
37948,12,1,49,178,2017-11-07 11:37:39,,0
42127,15,1,37,265,2017-11-07 11:51:12,,0
16010,9,1,13,489,2017-11-07 11:48:04,,0
65285,2,1,19,122,2017-11-07 11:40:27,,0
59812,14,1,13,379,2017-11-07 11:47:27,,0
168889,1,1,17,125,2017-11-07 11:49:07,,0
30636,18,1,8,107,2017-11-07 11:42:57,,0
181850,12,1,17,140,2017-11-07 11:35:48,,0
105560,14,1,22,134,2017-11-07 11:51:08,,0
198231,15,1,10,265,2017-11-07 11:44:28,,0
92471,18,1,53,107,2017-11-07 11:34:09,,0
2211,15,1,17,245,2017-11-07 11:45:20,,0
97744,9,1,13,134,2017-11-07 11:47:10,,0
1049,9,2,42,215,2017-11-07 11:34:56,,0
116094,9,1,6,442,2017-11-07 11:37:39,,0
58432,12,1,36,265,2017-11-07 11:49:44,,0
73555,20,2,19,259,2017-11-07 11:46:13,,0
117867,12,2,6,178,2017-11-07 11:32:46,,0
91611,6,1,19,459,2017-11-07 11:38:55,,0
65598,7,2,49,101,2017-11-07 11:31:43,,0
106078,9,1,18,466,2017-11-07 11:48:57,,0
116651,21,1,19,232,2017-11-07 11:50:46,,0
75431,18,1,8,121,2017-11-07 11:38:33,,0
21336,8,2,53,145,2017-11-07 11:35:46,,0
107775,24,1,6,105,2017-11-07 11:35:16,,0
36778,64,1,8,459,2017-11-07 11:34:35,,0
75595,3,1,35,480,2017-11-07 11:48:38,,0
81522,3,1,16,417,2017-11-07 11:48:01,,0
167481,18,1,19,121,2017-11-07 11:38:40,,0
12058,13,1,17,400,2017-11-07 11:35:51,,0
38342,6,1,8,459,2017-11-07 11:39:34,,0
4496,12,1,19,409,2017-11-07 11:35:14,,0
117041,64,1,19,459,2017-11-07 11:47:47,,0
64591,23,1,19,153,2017-11-07 11:35:23,,0
20266,9,1,19,244,2017-11-07 11:32:48,,0
16998,15,1,19,130,2017-11-07 11:31:44,,0
71601,2,1,13,469,2017-11-07 11:50:10,,0
2076,14,2,11,134,2017-11-07 11:48:08,,0
162718,14,1,10,442,2017-11-07 11:42:36,,0
100545,12,1,19,178,2017-11-07 11:43:34,,0
2076,26,1,22,121,2017-11-07 11:35:17,,0
49520,3,1,19,137,2017-11-07 11:42:46,,0
57277,12,1,18,178,2017-11-07 11:49:31,,0
191797,3,2,16,280,2017-11-07 11:32:52,,0
19388,1,1,19,377,2017-11-07 11:46:51,,0
63563,28,1,1,135,2017-11-07 11:43:04,,0
44067,12,2,11,140,2017-11-07 11:42:40,,0
191018,20,1,35,259,2017-11-07 11:45:08,,0
198917,18,1,17,121,2017-11-07 11:48:55,,0
140060,15,1,13,3,2017-11-07 11:33:07,,0
127220,24,1,19,178,2017-11-07 11:48:48,,0
208569,18,1,10,107,2017-11-07 11:38:25,,0
64206,2,1,10,122,2017-11-07 11:44:13,,0
142861,29,1,3,343,2017-11-07 11:35:32,,0
161764,8,1,13,145,2017-11-07 11:40:52,,0
80882,12,1,13,245,2017-11-07 11:32:19,,0
42307,24,1,12,105,2017-11-07 11:49:58,,0
48240,12,1,15,19,2017-11-07 11:50:18,,0
41082,2,2,19,435,2017-11-07 11:45:39,,0
130651,9,1,10,215,2017-11-07 11:32:34,,0
92712,3,2,10,153,2017-11-07 11:31:49,,0
34486,2,1,19,435,2017-11-07 11:38:22,,0
105560,23,1,19,153,2017-11-07 11:50:45,,0
78678,9,2,42,258,2017-11-07 11:44:56,,0
49793,3,1,8,489,2017-11-07 11:45:20,,0
162082,2,1,13,236,2017-11-07 11:46:41,,0
71542,15,1,31,245,2017-11-07 11:43:51,,0
114985,9,1,10,334,2017-11-07 11:43:46,,0
125623,15,1,27,245,2017-11-07 11:39:48,,0
34840,1,1,19,135,2017-11-07 11:36:48,,0
31784,2,1,19,435,2017-11-07 11:48:18,,0
186983,2,1,18,469,2017-11-07 11:47:19,,0
103090,3,2,9,137,2017-11-07 11:32:44,,0
79176,18,1,19,121,2017-11-07 11:42:38,,0
68947,3,1,19,280,2017-11-07 11:45:07,,0
38758,14,1,13,489,2017-11-07 11:43:00,,0
43423,25,1,13,259,2017-11-07 11:38:06,,0
96105,26,1,22,121,2017-11-07 11:43:27,,0
16341,11,1,19,319,2017-11-07 11:48:29,,0
78809,25,1,19,259,2017-11-07 11:40:39,,0
114276,3,1,22,280,2017-11-07 11:35:17,,0
53652,2,1,6,435,2017-11-07 11:39:56,,0
58538,12,1,18,409,2017-11-07 11:50:21,,0
17262,8,1,12,140,2017-11-07 11:33:43,,0
13634,9,1,19,442,2017-11-07 11:40:23,,0
15148,3,1,15,135,2017-11-07 11:46:18,,0
103531,9,1,19,215,2017-11-07 11:35:07,,0
120224,18,1,13,121,2017-11-07 11:47:48,,0
69088,11,1,13,173,2017-11-07 11:43:08,,0
596,9,1,15,215,2017-11-07 11:39:06,,0
78484,18,1,37,107,2017-11-07 11:43:49,,0
25705,2,1,19,205,2017-11-07 11:49:54,,0
105649,2,2,19,205,2017-11-07 11:48:40,,0
94840,3,1,13,135,2017-11-07 11:38:25,,0
108742,9,1,30,442,2017-11-07 11:45:31,,0
71219,1,1,18,134,2017-11-07 11:47:11,,0
48504,19,88,24,213,2017-11-07 11:34:29,,0
54125,15,1,19,265,2017-11-07 11:46:38,,0
5178,12,1,13,245,2017-11-07 11:45:43,,0
22072,26,1,31,266,2017-11-07 11:46:19,,0
4567,2,1,13,219,2017-11-07 11:49:11,,0
181628,3,1,15,280,2017-11-07 11:45:19,,0
80634,12,2,2,259,2017-11-07 11:49:55,,0
68651,1,1,13,125,2017-11-07 11:48:49,,0
114169,12,1,18,259,2017-11-07 11:32:54,,0
148315,29,1,17,343,2017-11-07 11:40:34,,0
37776,64,1,27,459,2017-11-07 11:47:32,,0
100960,10,1,13,317,2017-11-07 11:49:44,,0
59955,12,1,15,245,2017-11-07 11:41:38,,0
13775,2,1,18,377,2017-11-07 11:38:15,,0
73487,18,1,6,121,2017-11-07 11:48:25,,0
113882,12,1,41,265,2017-11-07 11:49:46,,0
155145,18,3032,607,107,2017-11-07 11:49:40,,0
36407,18,1,10,121,2017-11-07 11:34:24,,0
5404,12,1,13,140,2017-11-07 11:41:34,,0
165370,12,1,23,178,2017-11-07 11:46:01,,0
83594,7,1,13,101,2017-11-07 11:45:53,,0
16859,1,1,10,124,2017-11-07 11:48:24,,0
124414,23,1,17,153,2017-11-07 11:49:24,,0
80306,3,1,19,115,2017-11-07 11:37:01,,0
52010,12,1,19,259,2017-11-07 11:44:21,,0
91429,8,1,2,140,2017-11-07 11:49:48,,0
119934,9,1,13,442,2017-11-07 11:49:37,,0
18967,28,1,8,135,2017-11-07 11:48:19,,0
105304,12,1,19,265,2017-11-07 11:41:09,,0
40123,11,1,13,122,2017-11-07 11:45:40,,0
116506,18,1,12,107,2017-11-07 11:49:49,,0
112651,14,1,19,463,2017-11-07 11:37:27,,0
14223,18,1,19,107,2017-11-07 11:38:38,,0
78090,2,1,17,258,2017-11-07 11:47:50,,0
62083,12,1,19,328,2017-11-07 11:41:13,,0
146396,15,1,6,245,2017-11-07 11:41:22,,0
50265,6,1,53,459,2017-11-07 11:50:28,,0
87367,9,1,13,334,2017-11-07 11:49:35,,0
123701,9,2,19,334,2017-11-07 11:37:08,,0
57277,3,1,18,280,2017-11-07 11:49:23,,0
79666,9,1,19,244,2017-11-07 11:33:49,,0
105101,3,2,20,280,2017-11-07 11:50:16,,0
125346,25,1,53,259,2017-11-07 11:49:01,,0
151977,12,1,23,245,2017-11-07 11:34:53,,0
191894,2,1,19,236,2017-11-07 11:34:48,,0
181277,3,1,14,409,2017-11-07 11:45:55,,0
97646,12,1,19,259,2017-11-07 11:50:11,,0
125764,2,1,16,435,2017-11-07 11:47:33,,0
161781,25,1,22,259,2017-11-07 11:45:15,,0
9704,15,1,13,245,2017-11-07 11:37:41,,0
182338,45,1,10,411,2017-11-07 11:50:27,,0
92766,18,1,14,121,2017-11-07 11:34:27,,0
193448,9,2,9,234,2017-11-07 11:34:06,,0
155390,15,1,13,140,2017-11-07 11:49:47,,0
179438,23,1,9,153,2017-11-07 11:37:14,,0
23878,12,2,13,245,2017-11-07 11:42:19,,0
104664,12,1,31,245,2017-11-07 11:40:01,,0
151845,14,1,19,442,2017-11-07 11:38:10,,0
158263,19,88,24,213,2017-11-07 11:45:35,,0
121176,9,1,17,466,2017-11-07 11:34:22,,0
188112,21,1,23,128,2017-11-07 11:36:04,,0
95006,9,1,25,134,2017-11-07 11:32:43,,0
159761,2,1,19,364,2017-11-07 11:36:04,,0
35703,17,1,17,280,2017-11-07 11:50:41,,0
4334,3,1,10,135,2017-11-07 11:44:11,,0
43834,18,1,19,134,2017-11-07 11:35:04,,0
26564,15,1,13,3,2017-11-07 11:34:07,,0
100020,13,1,22,477,2017-11-07 11:31:50,,0
121475,15,1,19,245,2017-11-07 11:48:06,,0
95766,8,2,19,145,2017-11-07 11:49:09,,0
75595,2,1,22,205,2017-11-07 11:33:08,,0
108881,1,1,1,377,2017-11-07 11:37:07,,0
123907,15,1,19,245,2017-11-07 11:46:02,,0
119346,2,1,2,469,2017-11-07 11:39:21,,0
118648,12,1,6,178,2017-11-07 11:46:31,,0
24008,17,1,13,280,2017-11-07 11:49:19,,0
22105,24,2,79,105,2017-11-07 11:35:19,,0
44328,3,1,37,409,2017-11-07 11:47:24,,0
11200,15,1,48,245,2017-11-07 11:32:26,,0
30587,21,2,9,128,2017-11-07 11:33:56,,0
194234,17,1,47,280,2017-11-07 11:40:10,,0
4019,8,2,19,145,2017-11-07 11:33:06,,0
117050,26,1,18,121,2017-11-07 11:50:45,,0
67237,27,1,25,122,2017-11-07 11:32:41,,0
4977,12,1,19,265,2017-11-07 11:46:04,,0
47456,26,1,6,266,2017-11-07 11:39:51,,0
188600,15,1,19,278,2017-11-07 11:38:31,,0
93080,15,1,17,245,2017-11-07 11:45:06,,0
201182,2,1,19,122,2017-11-07 11:35:56,,0
195974,2,1,19,477,2017-11-07 11:45:31,,0
84644,11,1,13,319,2017-11-07 11:31:59,,0
44076,2,1,8,212,2017-11-07 11:49:50,,0
15970,12,1,11,265,2017-11-07 11:32:26,,0
95766,64,1,49,459,2017-11-07 11:50:22,,0
154539,13,1,13,477,2017-11-07 11:50:03,,0
88325,9,1,17,445,2017-11-07 11:33:34,,0
62571,24,1,19,105,2017-11-07 11:50:34,,0
5348,3,2,13,115,2017-11-07 11:50:21,,0
209663,2,1,8,205,2017-11-07 11:36:00,,0
183493,1,1,35,349,2017-11-07 11:36:13,,0
12284,24,1,18,105,2017-11-07 11:32:17,,0
42139,15,1,9,245,2017-11-07 11:42:25,,0
108122,24,1,6,178,2017-11-07 11:44:30,,0
20387,2,2,18,477,2017-11-07 11:36:38,,0
207838,18,1,19,121,2017-11-07 11:37:00,,0
7838,21,1,17,128,2017-11-07 11:33:18,,0
74666,6,1,19,459,2017-11-07 11:38:57,,0
70432,2,1,6,435,2017-11-07 11:46:09,,0
67682,9,2,20,244,2017-11-07 11:39:55,,0
47648,12,2,19,140,2017-11-07 11:42:41,,0
26995,2,1,47,477,2017-11-07 11:39:16,,0
65062,3,1,19,280,2017-11-07 11:38:59,,0
77658,11,1,2,469,2017-11-07 11:42:03,,0
187243,26,1,13,121,2017-11-07 11:33:49,,0
7346,3,1,30,424,2017-11-07 11:42:18,,0
93197,2,1,20,236,2017-11-07 11:37:25,,0
144578,18,3032,607,107,2017-11-07 11:50:16,,0
84644,18,2,11,439,2017-11-07 11:39:09,,0
98489,3,1,8,205,2017-11-07 11:37:08,,0
59262,12,1,17,245,2017-11-07 11:36:52,,0
147957,12,2,19,265,2017-11-07 11:33:41,,0
25614,2,2,63,205,2017-11-07 11:34:35,,0
11382,15,1,13,278,2017-11-07 11:44:04,,0
5348,2,1,22,452,2017-11-07 11:37:25,,0
5729,3,2,32,280,2017-11-07 11:42:52,,0
105293,18,1,17,107,2017-11-07 11:42:35,,0
75007,2,1,13,122,2017-11-07 11:46:48,,0
112198,12,2,9,265,2017-11-07 11:37:51,,0
72200,5,1,19,377,2017-11-07 11:43:04,,0
53479,12,1,13,178,2017-11-07 11:42:08,,0
197475,18,1,4,121,2017-11-07 11:32:20,,0
5314,29,1,19,343,2017-11-07 11:50:03,,0
175837,3,1,13,280,2017-11-07 11:46:27,,0
196453,2,1,19,435,2017-11-07 11:37:49,,0
88529,3,1,13,115,2017-11-07 11:46:42,,0
62879,14,1,19,489,2017-11-07 11:51:12,,0
5314,9,1,20,442,2017-11-07 11:33:03,,0
178851,26,1,19,266,2017-11-07 11:33:58,,0
112265,18,1,6,107,2017-11-07 11:33:34,,0
177426,12,1,13,19,2017-11-07 11:37:30,,0
113786,7,1,13,101,2017-11-07 11:36:04,,0
48708,19,112,59,210,2017-11-07 11:38:20,,0
106279,14,1,6,123,2017-11-07 11:33:39,2017-11-07 13:23:40,1
105128,15,1,19,386,2017-11-07 11:46:48,,0
104271,12,1,16,178,2017-11-07 11:47:25,,0
53454,3,1,13,137,2017-11-07 11:50:33,,0
5314,2,1,6,477,2017-11-07 11:49:38,,0
114163,3,1,19,280,2017-11-07 11:50:11,,0
2857,3,1,18,480,2017-11-07 11:50:10,,0
7283,18,1,19,107,2017-11-07 11:50:52,,0
129682,3,1,19,442,2017-11-07 11:47:47,,0
92471,24,2,32,105,2017-11-07 11:36:48,,0
177688,3,1,22,280,2017-11-07 11:45:00,,0
42731,32,1,13,376,2017-11-07 11:34:03,,0
4930,14,1,13,379,2017-11-07 11:40:16,,0
33908,2,1,13,452,2017-11-07 11:35:17,,0
101250,3,1,19,489,2017-11-07 11:45:43,,0
89396,8,1,13,145,2017-11-07 11:42:12,,0
20820,12,1,19,212,2017-11-07 11:50:37,,0
83678,2,1,17,477,2017-11-07 11:50:38,,0
89111,2,1,25,364,2017-11-07 11:45:36,,0
78214,15,1,15,315,2017-11-07 11:43:12,,0
42762,20,1,13,259,2017-11-07 11:41:53,,0
104491,14,1,11,401,2017-11-07 11:34:01,,0
44028,23,1,10,153,2017-11-07 11:32:32,,0
18491,9,1,18,442,2017-11-07 11:46:39,,0
159866,3,1,15,480,2017-11-07 11:31:56,,0
73487,9,2,40,234,2017-11-07 11:32:09,,0
187066,8,1,1,145,2017-11-07 11:42:28,,0
201182,21,2,11,128,2017-11-07 11:49:48,,0
149063,1,1,19,150,2017-11-07 11:36:43,,0
101214,14,1,13,480,2017-11-07 11:51:03,,0
155819,3,1,19,130,2017-11-07 11:41:42,,0
72638,18,1,25,134,2017-11-07 11:32:17,,0
45248,14,1,22,379,2017-11-07 11:39:18,,0
27510,2,1,22,435,2017-11-07 11:45:13,,0
99906,18,1,19,107,2017-11-07 11:32:52,,0
114878,2,1,19,205,2017-11-07 11:38:38,,0
2372,32,1,19,376,2017-11-07 11:37:30,,0
28751,2,1,10,469,2017-11-07 11:43:38,,0
102255,25,1,12,259,2017-11-07 11:36:25,,0
8718,14,1,19,379,2017-11-07 11:34:56,,0
92569,15,1,19,412,2017-11-07 11:40:32,,0
96078,3,1,2,205,2017-11-07 11:41:05,,0
64131,12,1,35,265,2017-11-07 11:35:36,,0
5788,26,1,32,121,2017-11-07 11:51:07,,0
139445,18,1,17,134,2017-11-07 11:41:11,,0
178457,15,1,22,315,2017-11-07 11:48:26,,0
105475,18,1,22,107,2017-11-07 11:45:18,,0
105196,18,1,13,121,2017-11-07 11:34:20,,0
50482,18,1,13,107,2017-11-07 11:42:18,,0
